StudentName,Attendance,StudyHours,InternalMarks,AssignmentMarks,PreviousMarks,FinalScore
Pooja Shinde 090,78.0,2.9,39.3,69.2,96.0,72.6
Pranav Gaikwad 091,74.6,6.0,88.0,62.5,48.7,66.8
Prathamesh Thorat 092,93.5,3.7,80.7,64.5,57.8,64.2
Rahul Pawar 093,92.3,5.7,62.0,87.8,67.7,79.3
Riya Bhosale 094,68.6,4.1,56.6,74.6,77.8,53.3
Rohan Lokhande 095,76.1,6.2,73.3,54.3,61.6,63.2
Rohit Kulkarni 096,84.9,1.3,78.6,64.3,91.0,65.2
Sachin Mane 097,85.2,4.3,45.8,79.1,79.5,58.8
Sahil Wagh 098,93.4,2.3,64.5,59.8,78.0,75.4
Samarth Joshi 099,60.1,3.7,75.4,59.7,77.2,63.8
Sanjay Salunkhe 100,57.7,4.1,76.7,72.0,63.0,66.6
Sarthak Patil 101,75.2,6.5,66.6,62.3,98.0,83.2
Shreya More 102,90.1,3.5,56.1,69.6,51.2,68.5
Sneha Sawant 103,83.2,5.4,75.5,71.5,71.6,73.1
Tanmay Deshmukh 104,82.8,4.9,69.3,81.2,72.2,81.3
Tejas Kadam 105,74.1,5.7,62.7,50.9,96.6,67.4
Vaishnavi Desai 106,73.9,4.6,76.3,52.3,73.5,75.4
Vedant Jadhav 107,95.9,4.8,53.0,91.0,73.7,70.4
Yash Chavan 108,87.8,5.2,76.4,89.6,64.8,68.7
Aarav Kale 109,65.1,5.6,77.7,56.9,68.1,53.4
Aditi Shinde 110,68.2,3.4,71.9,80.5,66.1,64.3
Aditya Gaikwad 111,94.7,3.6,81.2,76.6,74.5,78.5
Akash Thorat 112,82.5,2.1,62.0,67.6,76.9,56.8
Akshay Pawar 113,64.2,5.5,77.6,75.7,79.8,77.1
Aman Bhosale 114,94.8,3.5,80.3,66.9,78.2,75.1
Amol Lokhande 115,70.1,1.3,79.8,63.4,91.4,72.5
Ananya Kulkarni 116,70.7,4.9,76.2,59.9,98.0,71.8
Aniket Mane 117,78.8,5.6,74.1,96.8,65.0,66.8
Anjali Wagh 118,95.3,3.9,97.5,71.7,74.8,74.6
Ansh Joshi 119,75.0,3.0,63.2,89.3,79.2,62.6
Arjun Salunkhe 120,62.5,7.7,71.6,60.6,68.9,77.3
Aryan Patil 121,88.0,6.3,58.0,79.4,48.8,57.9
Ashish More 122,86.2,4.2,77.6,84.7,40.4,64.9
Avani Sawant 123,83.4,2.9,86.0,72.9,59.4,75.3
Bhakti Deshmukh 124,70.1,2.9,83.7,66.6,88.8,71.7
Chetan Kadam 125,86.8,3.0,56.6,71.6,62.2,63.4
Deepak Desai 126,91.1,5.3,76.8,72.2,96.3,76.2
Diya Jadhav 127,78.9,5.2,83.3,74.0,70.3,66.6
Gaurav Chavan 128,78.5,2.5,72.7,78.4,61.8,69.1
Harsh Kale 129,76.8,4.9,55.0,74.9,62.9,65.2
Isha Shinde 130,76.7,5.4,71.7,72.1,61.8,60.0
Ishaan Gaikwad 131,70.2,4.0,88.5,79.6,90.1,79.7
Karan Thorat 132,66.0,2.4,80.5,65.8,82.5,68.9
Kavya Pawar 133,68.8,6.5,86.1,73.3,53.6,60.2
Krishna Bhosale 134,64.6,3.8,72.3,83.1,45.6,62.3
Manas Lokhande 135,70.1,1.0,40.6,64.6,68.1,46.1
Manav Kulkarni 136,86.7,4.6,62.7,81.4,57.7,66.8
Mayur Mane 137,86.9,3.2,67.0,83.6,63.3,65.3
Meera Wagh 138,70.6,3.3,53.9,72.3,73.3,55.7
Mihir Joshi 139,75.9,4.5,70.7,72.5,70.7,70.0
Neha Salunkhe 140,85.8,4.2,80.8,67.5,82.1,72.1
Nikhil Patil 141,58.1,6.4,85.7,69.8,68.4,73.7
Nikita More 142,58.4,3.1,89.5,88.0,60.1,58.7
Om Sawant 143,63.8,6.3,84.0,50.8,56.5,57.3
Pooja Deshmukh 144,76.5,3.0,35.2,66.8,87.8,58.6
Pranav Kadam 145,73.8,3.5,65.9,76.5,81.0,70.4
Prathamesh Desai 146,87.2,4.9,64.5,77.8,63.0,60.7
Rahul Jadhav 147,61.7,2.5,67.9,74.0,77.1,67.4
Riya Chavan 148,74.7,5.0,64.2,85.4,58.0,61.4
Rohan Kale 149,100.0,4.7,79.8,81.4,49.6,72.5
Rohit Shinde 150,67.7,3.1,71.0,100.0,71.3,63.7
Sachin Gaikwad 151,81.7,3.8,74.1,64.5,64.6,63.6
Sahil Thorat 152,90.6,3.0,57.5,66.1,73.1,64.7
Samarth Pawar 153,86.3,6.2,89.6,72.0,89.8,82.6
Sanjay Bhosale 154,75.3,2.5,57.0,75.0,60.7,54.6
Sarthak Lokhande 155,79.9,4.2,89.3,71.9,77.9,69.9
Shreya Kulkarni 156,81.0,5.3,74.5,60.6,60.5,66.8
Sneha Mane 157,85.2,6.4,65.8,66.6,76.5,77.2
Tanmay Wagh 158,80.1,6.3,83.6,78.3,78.3,75.7
Tejas Joshi 159,61.7,2.8,73.2,48.5,74.9,49.3
Vaishnavi Salunkhe 160,86.6,5.5,68.1,91.0,68.8,72.6
Vedant Patil 161,93.0,4.1,83.3,65.6,61.9,67.8
Yash More 162,84.2,3.5,79.3,59.5,70.3,70.5
Aarav Sawant 163,72.2,3.8,71.8,73.5,72.1,64.9
Aditi Deshmukh 164,84.4,6.2,88.6,82.9,84.4,84.3
Aditya Kadam 165,84.4,3.1,79.4,85.0,56.5,65.9
Akash Desai 166,86.6,4.2,77.7,90.7,68.4,60.7
Akshay Jadhav 167,96.6,5.7,68.2,67.9,55.7,67.2
Aman Chavan 168,82.6,3.6,89.2,76.4,76.1,71.2
Amol Kale 169,56.7,4.9,86.6,81.9,73.6,64.0
Ananya Shinde 170,71.3,6.6,73.6,79.6,74.2,76.4
Aniket Gaikwad 171,87.0,6.1,92.0,77.0,98.0,86.1
Anjali Thorat 172,92.9,2.8,63.5,71.5,73.5,70.3
Ansh Pawar 173,68.3,5.1,77.2,79.6,53.6,63.0
Arjun Bhosale 174,72.5,4.1,74.0,70.4,66.5,60.5
Aryan Lokhande 175,88.9,2.5,96.3,75.6,74.9,71.8
Ashish Kulkarni 176,83.9,4.6,80.2,81.7,42.7,64.5
Avani Mane 177,72.4,5.7,64.8,67.8,57.1,67.1
Bhakti Wagh 178,67.3,5.4,78.8,79.8,82.5,75.4
Chetan Joshi 179,85.7,3.4,80.9,86.6,47.6,63.4
Deepak Salunkhe 180,96.4,8.7,82.3,94.9,77.3,89.4
Diya Patil 181,97.8,1.8,75.3,61.7,61.6,66.4
Gaurav More 182,73.6,2.8,61.4,84.9,56.4,69.0
Harsh Sawant 183,91.3,5.6,64.6,64.8,75.4,63.4
Isha Deshmukh 184,79.0,8.6,89.7,72.1,88.8,82.5
Ishaan Kadam 185,61.1,3.2,69.9,61.3,54.3,65.0
Karan Desai 186,77.6,6.1,46.6,78.0,61.7,62.4
Kavya Jadhav 187,86.5,4.1,63.8,61.8,73.6,63.0
Krishna Chavan 188,81.9,1.3,83.6,76.4,51.3,52.0
Manas Kale 189,95.4,4.2,64.5,72.0,88.1,76.0
Manav Shinde 190,92.8,2.8,77.1,85.7,94.7,76.7
Mayur Gaikwad 191,68.7,3.1,59.4,94.8,74.5,57.7
Meera Thorat 192,73.0,5.9,85.1,85.0,82.4,74.6
Mihir Pawar 193,88.9,4.2,45.8,97.0,61.2,76.5
Neha Bhosale 194,73.6,4.7,84.8,77.0,70.0,67.5
Nikhil Lokhande 195,64.7,5.5,71.4,63.7,81.7,75.9
Nikita Kulkarni 196,69.8,3.0,78.6,80.6,54.2,61.9
Om Mane 197,82.0,2.9,80.9,81.4,71.9,67.9
Pooja Wagh 198,82.7,3.7,72.2,70.5,81.4,64.0
Pranav Joshi 199,70.2,2.2,64.1,65.5,81.6,62.2
Prathamesh Salunkhe 200,96.2,1.8,83.8,78.1,96.6,80.0
Rahul Patil 201,90.0,5.3,60.4,89.6,68.4,71.8
Riya More 202,52.9,3.7,68.3,63.3,69.4,64.0
Rohan Sawant 203,79.2,5.5,77.7,87.9,58.6,71.1
Rohit Deshmukh 204,71.3,6.6,64.5,99.9,55.9,66.8
Sachin Kadam 205,72.2,5.8,83.6,74.9,68.0,71.6
Sahil Desai 206,71.6,1.4,72.8,69.4,86.9,62.5
Samarth Jadhav 207,86.8,4.0,80.5,76.2,50.5,60.0
Sanjay Chavan 208,82.4,5.5,44.1,59.6,71.8,63.6
Sarthak Kale 209,94.8,6.0,81.6,83.8,71.2,77.4
Shreya Shinde 210,61.6,4.1,88.2,55.8,50.2,49.7
Sneha Gaikwad 211,61.6,5.5,71.2,63.4,62.3,74.7
Tanmay Thorat 212,77.1,4.8,84.3,79.9,78.6,76.5
Tejas Pawar 213,78.4,5.1,62.2,82.9,68.7,66.5
Vaishnavi Bhosale 214,71.9,4.1,72.4,66.6,70.7,60.7
Vedant Lokhande 215,66.6,4.2,70.4,67.7,68.1,60.2
Yash Kulkarni 216,89.9,3.0,98.0,83.2,68.2,69.3
Aarav Mane 217,93.2,6.9,91.7,68.4,78.1,83.9
Aditi Wagh 218,68.8,3.5,39.3,81.0,51.3,53.5
Aditya Joshi 219,100.0,2.8,72.7,90.3,75.9,66.7
Akash Salunkhe 220,71.1,1.0,98.0,68.2,98.0,73.4
Akshay Patil 221,97.0,3.9,84.8,84.0,96.7,88.0
Aman More 222,53.4,3.2,63.6,82.6,85.4,67.5
Amol Sawant 223,81.7,4.9,61.9,62.8,64.4,68.3
Ananya Deshmukh 224,77.2,5.3,80.1,72.3,77.6,68.4
Aniket Kadam 225,80.9,6.2,66.8,82.3,57.5,68.7
Anjali Desai 226,95.5,5.0,63.8,93.8,93.0,73.8
Ansh Jadhav 227,67.6,1.1,75.5,60.0,61.4,64.9
Arjun Chavan 228,70.3,5.7,60.0,83.2,57.7,62.0
Aryan Kale 229,77.6,7.7,84.5,72.7,48.2,69.9
Ashish Shinde 230,68.6,3.5,74.3,68.4,82.5,69.1
Avani Gaikwad 231,92.9,2.9,63.8,100.0,75.1,72.3
Bhakti Thorat 232,69.6,4.2,84.5,68.6,73.1,60.7
Chetan Pawar 233,100.0,6.3,74.1,74.8,49.8,84.0
Deepak Bhosale 234,75.6,1.0,74.7,55.8,69.0,61.6
Diya Lokhande 235,71.9,2.6,82.1,69.1,84.6,70.4
Gaurav Kulkarni 236,100.0,6.1,80.7,79.7,73.1,74.0
Harsh Mane 237,83.0,4.6,55.6,61.4,85.5,65.0
Isha Wagh 238,86.0,5.3,75.5,71.1,78.4,82.9
Ishaan Joshi 239,79.6,1.0,78.6,88.9,63.0,68.3
Karan Salunkhe 240,94.2,3.1,68.9,63.7,67.3,62.1
Kavya Patil 241,81.1,1.5,74.6,79.2,70.5,70.6
Krishna More 242,78.2,3.9,77.6,85.0,69.9,65.2
Manas Sawant 243,88.4,4.8,64.0,68.7,94.8,75.9
Manav Deshmukh 244,68.9,5.6,78.2,71.4,72.1,76.7
Mayur Kadam 245,64.0,2.3,78.0,90.1,80.1,70.1
Meera Desai 246,68.5,6.1,72.6,65.8,89.1,71.4
Mihir Jadhav 247,70.0,4.0,74.6,91.9,98.0,74.0
Neha Chavan 248,88.5,6.1,85.0,60.8,76.7,76.8
Nikhil Kale 249,82.3,9.0,88.4,78.6,89.0,91.2
Nikita Shinde 250,82.7,5.0,59.2,62.1,76.7,63.7
Om Gaikwad 251,60.2,3.1,46.4,74.3,71.9,68.2
Pooja Thorat 252,80.9,5.4,73.2,76.2,78.0,70.6
Pranav Pawar 253,80.6,4.7,60.2,72.1,51.9,45.9
Prathamesh Bhosale 254,69.1,7.7,56.5,75.9,85.5,71.5
Rahul Lokhande 255,79.9,3.4,81.7,58.1,49.8,56.1
Riya Kulkarni 256,52.9,4.1,82.7,87.1,72.1,71.5
Rohan Mane 257,92.0,3.5,79.8,64.0,73.0,67.5
Rohit Wagh 258,90.2,7.0,71.4,80.6,68.8,74.1
Sachin Joshi 259,76.9,3.5,68.3,73.4,89.8,78.5
Sahil Salunkhe 260,78.1,6.8,86.8,95.7,85.7,84.2
Samarth Patil 261,64.6,1.0,68.8,73.3,81.0,71.3
Sanjay More 262,85.9,2.6,63.8,43.5,49.2,52.4
Sarthak Sawant 263,75.2,5.9,84.6,59.1,69.0,64.9
Shreya Deshmukh 264,74.0,5.0,63.2,82.9,48.4,57.6
Sneha Kadam 265,83.7,3.9,59.1,71.7,88.6,75.0
Tanmay Desai 266,76.7,4.1,84.2,77.6,54.7,68.6
Tejas Jadhav 267,67.5,5.0,66.6,40.0,72.6,64.3
Vaishnavi Chavan 268,93.4,3.7,81.3,79.7,85.9,76.9
Vedant Kale 269,71.8,4.9,70.2,75.6,48.2,62.1
Yash Shinde 270,91.2,2.1,65.8,62.1,90.8,69.0
Aarav Gaikwad 271,62.4,1.0,49.1,55.9,83.2,58.4
Aditi Thorat 272,64.4,5.1,78.7,65.3,75.0,72.6
Aditya Pawar 273,81.3,6.2,77.7,74.3,62.8,72.3
Akash Bhosale 274,75.3,6.1,75.7,67.1,74.8,79.1
Akshay Lokhande 275,64.4,5.3,82.9,47.5,59.5,65.9
Aman Kulkarni 276,70.0,5.0,76.2,78.1,84.1,72.8
Amol Mane 277,74.8,4.4,82.6,62.2,98.0,76.8
Ananya Wagh 278,76.3,6.1,80.8,61.1,89.3,75.3
Aniket Joshi 279,60.5,4.7,75.8,80.1,62.7,66.5
Anjali Salunkhe 280,92.4,5.8,78.4,80.0,70.6,66.8
Ansh Patil 281,100.0,4.9,78.6,66.0,80.5,73.0
Arjun More 282,91.1,5.1,68.3,72.9,77.5,85.7
Aryan Sawant 283,88.4,2.5,77.7,92.8,54.2,58.0
Ashish Deshmukh 284,67.7,4.0,86.6,86.4,69.4,65.5
Avani Kadam 285,74.3,5.8,98.0,75.5,52.6,78.2
Bhakti Desai 286,67.4,3.2,72.7,73.6,70.3,66.2
Chetan Jadhav 287,82.6,6.1,51.5,77.3,81.9,66.5
Deepak Chavan 288,79.2,7.2,62.6,62.3,72.5,66.3
Diya Kale 289,72.4,6.0,88.0,75.3,64.0,79.3
Gaurav Shinde 290,72.6,3.1,68.2,61.2,86.1,61.8
Harsh Gaikwad 291,76.9,5.9,58.9,85.2,91.2,81.2
Isha Thorat 292,76.2,2.8,83.4,95.4,59.5,58.6
Ishaan Pawar 293,81.9,5.8,55.7,93.1,69.7,69.1
Karan Bhosale 294,76.6,6.0,65.5,55.0,49.7,55.2
Kavya Lokhande 295,76.8,6.3,61.7,67.9,71.2,78.0
Krishna Kulkarni 296,82.5,7.3,59.9,89.4,64.1,76.1
Manas Mane 297,64.6,4.1,78.9,68.9,95.1,73.3
Manav Wagh 298,84.2,4.8,74.2,52.4,60.9,72.5
Mayur Joshi 299,86.2,5.8,56.6,93.2,67.9,70.5
Meera Salunkhe 300,73.5,4.3,64.4,73.8,84.4,68.3
Mihir Patil 301,98.3,6.4,67.2,80.6,84.0,80.4
Neha More 302,77.5,4.5,62.2,62.7,81.4,68.9
Nikhil Sawant 303,70.0,5.9,73.5,72.5,61.6,65.3
Nikita Deshmukh 304,84.8,3.5,66.7,66.0,65.0,61.7
Om Kadam 305,77.7,5.1,67.7,80.3,95.2,80.0
Pooja Desai 306,75.7,4.6,59.1,66.7,49.7,65.1
Pranav Jadhav 307,70.4,4.0,61.9,80.1,63.4,59.3
Prathamesh Chavan 308,66.1,2.8,75.3,56.2,78.8,64.7
Rahul Kale 309,71.4,4.7,71.9,71.4,61.1,69.6
Riya Shinde 310,65.4,4.4,68.0,59.3,85.9,71.7
Rohan Gaikwad 311,76.9,4.4,81.6,72.4,63.2,73.3
Rohit Thorat 312,92.6,3.8,80.9,84.7,84.5,78.9
Sachin Pawar 313,61.0,3.8,79.0,78.8,64.1,59.1
Sahil Bhosale 314,98.9,3.6,56.5,53.7,75.2,63.2
Samarth Lokhande 315,93.8,5.6,61.5,63.9,83.2,71.2
Sanjay Kulkarni 316,70.9,6.5,75.4,99.1,59.7,65.4
Sarthak Mane 317,81.1,5.0,73.9,80.1,57.4,71.2
Shreya Wagh 318,82.3,3.4,82.7,82.0,50.5,66.3
Sneha Joshi 319,68.3,5.1,73.5,80.8,74.9,69.4
Tanmay Salunkhe 320,66.2,5.3,72.0,62.2,77.7,71.7
Tejas Patil 321,86.1,2.8,68.9,57.0,89.2,66.4
Vaishnavi More 322,85.1,4.9,89.4,88.8,95.7,84.0
Vedant Sawant 323,81.6,5.8,67.2,80.2,76.4,81.5
Yash Deshmukh 324,85.0,3.5,68.8,74.2,84.7,71.4
Aarav Kadam 325,81.6,5.6,62.2,94.4,58.4,72.3
Aditi Desai 326,62.7,5.2,63.9,67.7,64.3,61.9
Aditya Jadhav 327,76.3,4.1,91.7,77.4,35.0,57.2
Akash Chavan 328,96.8,1.5,79.6,62.1,59.1,57.2
Akshay Kale 329,81.0,4.5,79.8,64.5,70.8,73.5
Aman Shinde 330,68.0,3.0,82.6,58.9,74.8,66.2
Amol Gaikwad 331,67.0,3.9,87.8,70.6,64.7,70.0
Ananya Thorat 332,65.2,8.3,71.8,86.7,72.0,81.2
Aniket Pawar 333,76.0,2.1,58.7,76.3,56.0,63.7
Anjali Bhosale 334,64.5,1.8,75.5,53.5,52.0,55.7
Ansh Lokhande 335,73.5,4.6,96.2,60.2,67.1,66.6
Arjun Kulkarni 336,79.8,4.7,94.8,82.6,75.6,69.4
Aryan Mane 337,76.0,8.8,88.3,69.5,69.4,87.5
Ashish Wagh 338,74.8,3.8,75.3,83.5,59.7,73.3
Avani Joshi 339,69.3,4.3,62.8,68.9,42.9,54.5
Bhakti Salunkhe 340,86.2,5.6,70.2,87.8,57.0,72.3
Chetan Patil 341,73.9,4.3,93.2,45.8,82.1,78.9
Deepak More 342,99.9,2.1,75.3,69.6,68.7,72.7
Diya Sawant 343,80.8,2.7,64.5,68.3,64.0,64.9
Gaurav Deshmukh 344,90.5,2.9,61.0,80.1,61.1,56.4
Harsh Kadam 345,81.1,5.6,73.8,82.6,58.0,61.2
Isha Desai 346,76.9,8.0,82.1,81.9,66.8,81.2
Ishaan Jadhav 347,85.4,5.1,66.1,67.2,66.6,63.2
Karan Chavan 348,86.4,2.7,50.8,78.8,76.0,60.3
Kavya Kale 349,93.1,7.4,58.3,64.1,77.7,79.5
Krishna Shinde 350,94.4,4.4,62.6,62.4,59.0,59.7
Manas Gaikwad 351,65.9,6.7,64.2,70.9,54.1,62.4
Manav Thorat 352,94.5,5.0,79.2,89.4,57.2,84.9
Mayur Pawar 353,68.3,4.2,55.5,74.3,92.6,57.8
Meera Bhosale 354,65.2,3.7,88.8,65.2,80.8,74.5
Mihir Lokhande 355,77.2,4.8,73.1,88.2,78.0,64.9
Neha Kulkarni 356,84.5,7.3,64.3,71.8,77.6,70.5
Nikhil Mane 357,89.2,3.5,83.4,78.9,72.0,63.2
Nikita Wagh 358,81.2,4.2,59.7,84.5,61.1,63.1
Om Joshi 359,70.5,3.1,81.9,74.6,78.6,64.8
Pooja Salunkhe 360,86.0,2.9,45.2,76.3,61.4,61.6
Pranav Patil 361,67.6,2.5,70.6,58.8,50.0,52.4
Prathamesh More 362,65.1,1.9,84.8,76.4,85.6,62.9
Rahul Sawant 363,100.0,5.1,65.7,66.0,74.5,74.2
Riya Deshmukh 364,71.6,4.9,73.7,69.1,62.3,76.3
Rohan Kadam 365,76.8,4.3,76.8,93.7,74.8,62.9
Rohit Desai 366,77.7,2.9,57.6,99.1,73.3,61.4
Sachin Jadhav 367,62.7,4.9,58.5,70.6,81.2,65.5
Sahil Chavan 368,85.3,4.2,59.9,90.8,69.3,64.6
Samarth Kale 369,88.0,3.8,69.0,63.0,82.4,73.1
Sanjay Shinde 370,75.2,3.3,84.1,76.7,62.4,67.1
Sarthak Gaikwad 371,67.8,5.5,89.8,71.0,73.3,78.6
Shreya Thorat 372,69.0,4.8,81.3,72.0,76.2,75.9
Sneha Pawar 373,65.3,6.4,76.3,72.8,81.4,80.6
Tanmay Bhosale 374,82.5,5.6,78.8,56.6,69.3,77.2
Tejas Lokhande 375,72.6,5.7,58.4,73.1,46.7,55.3
Vaishnavi Kulkarni 376,74.0,3.9,79.6,90.0,75.9,67.2
Vedant Mane 377,93.4,5.1,60.2,91.6,53.0,59.1
Yash Wagh 378,100.0,2.5,53.4,89.9,78.9,75.3
Aarav Joshi 379,73.2,2.3,76.5,84.1,53.4,62.7
Aditi Salunkhe 380,70.6,2.4,63.6,84.4,74.4,66.6
Aditya Patil 381,77.1,3.0,67.8,76.8,79.6,70.6
Akash More 382,95.8,3.0,80.3,80.5,75.0,69.0
Akshay Sawant 383,71.0,2.4,57.7,71.4,85.0,59.6
Aman Deshmukh 384,75.1,2.5,59.2,80.8,53.1,48.4
Amol Kadam 385,100.0,4.9,61.4,71.0,89.1,81.6
Ananya Desai 386,69.2,3.6,84.3,65.2,84.0,68.6
Aniket Jadhav 387,88.4,1.7,64.0,76.3,97.4,74.8
Anjali Chavan 388,72.9,3.1,65.6,84.8,76.0,62.2
Ansh Kale 389,97.5,4.7,94.7,66.5,78.9,78.7
Arjun Shinde 390,76.7,3.0,93.7,92.3,53.3,67.3
Aryan Gaikwad 391,71.1,4.4,71.1,84.8,82.8,68.7
Ashish Thorat 392,80.5,4.9,85.2,77.1,62.9,72.1
Avani Pawar 393,63.6,4.9,93.9,81.1,81.0,67.6
Bhakti Bhosale 394,77.2,4.2,50.8,78.3,60.1,54.7
Chetan Lokhande 395,66.8,3.6,87.9,77.9,44.1,51.4
